Location,Date,Year,Trip,TadpoleID,Purpose,Bio_GS,Bio_SVL,Bio_TL,Bio_Mass,Bio_Deform,ConcCu,Comments
Lyness,20220713,2022,2,501,copper,39,20,56,1.463,No,10.3,NA
Lyness,20220713,2022,2,502,copper,37,21,51,1.267,No,10.6,NA
Lyness,20220713,2022,2,503,copper,36,21,51,1.374,No,12.7,NA
Lyness,20220713,2022,2,504,copper,36,19,49,1.052,No,11.6,NA
Lyness,20220713,2022,2,505,copper,36,18,44,0.959,No,13.6,NA
Lyness,20220713,2022,2,506,copper,39,20,51,1.478,No,9.11,NA
Lyness,20220713,2022,2,507,copper,36,20,49,1.207,No,11.4,NA
Lyness,20220713,2022,2,508,copper,35,19,45,1.213,No,15.5,NA
Lyness,20220713,2022,2,509,copper,35,18,44,0.864,No,13.4,NA
Lyness,20220713,2022,2,510,copper,37,19,53,1.114,No,11.1,NA
Lyness,20220713,2022,2,511,copper,34,18,48,0.816,No,16,NA
Lyness,20220713,2022,2,512,copper,36,20,50,1.148,No,6.95,NA
Lyness,20220713,2022,2,513,copper,34,17,41,0.855,No,14.8,NA
Lyness,20220713,2022,2,514,copper,35,18,42,0.848,No,18.1,NA
Lyness,20220713,2022,2,515,copper,34,17,40,0.867,No,18.7,NA
Frog,20220714,2022,2,561,histology,37,23,48,1.863,No,NA,NA
Frog,20220714,2022,2,562,histology,38,20,50,1.532,No,NA,NA
Frog,20220714,2022,2,563,histology,35,18,44,0.974,No,NA,NA
Frog,20220714,2022,2,564,histology,37,18,49,1.369,No,NA,NA
Frog,20220714,2022,2,565,histology,37,20,47,1.333,No,NA,tail cut at the end
Frog,20220714,2022,2,566,histology,35,19,50,1.171,No,NA,NA
Frog,20220714,2022,2,567,histology,36,20,46,1.486,No,NA,NA
Frog,20220714,2022,2,568,histology,36,19,48,1.169,No,NA,NA
Frog,20220714,2022,2,569,histology,35,16,40,0.785,No,NA,NA
Frog,20220714,2022,2,570,histology,33,17,38,0.742,No,NA,NA
Frog,20220714,2022,2,571,histology,35,19,46,1.134,No,NA,NA
Frog,20220714,2022,2,572,histology,34,16,39,0.724,No,NA,NA
Frog,20220714,2022,2,573,histology,33,15,32,0.473,No,NA,NA
Frog,20220714,2022,2,574,histology,35,17,40,0.703,No,NA,NA
Frog,20220714,2022,2,575,histology,36,17,43,0.921,No,NA,NA
Frog,20220714,2022,2,516,copper,37,20,52,1.682,No,8.95,NA
Frog,20220714,2022,2,517,copper,35,18,46,1.054,No,9.11,NA
Frog,20220714,2022,2,518,copper,34,16,30,0.733,No,7.94,tail broken
Frog,20220714,2022,2,519,copper,34,17,38,0.757,No,10.4,NA
Frog,20220714,2022,2,520,copper,33,15,36,0.597,No,10.1,NA
Frog,20220714,2022,2,521,copper,34,15,37,0.643,No,11.6,NA
Frog,20220714,2022,2,522,copper,35,16,37,0.802,No,12.1,tail little broken
Frog,20220714,2022,2,523,copper,31,13,29,0.416,No,10.8,NA
Frog,20220714,2022,2,524,copper,33,15,33,0.445,No,11.4,NA
Frog,20220714,2022,2,525,copper,34,17,35,0.777,No,8.43,NA
Frog,20220714,2022,2,526,copper,35,18,43,0.863,No,9.27,NA
Frog,20220714,2022,2,527,copper,33,15,36,0.534,No,14.1,NA
Frog,20220714,2022,2,528,copper,35,17,43,0.775,No,9.54,NA
Frog,20220714,2022,2,529,copper,33,14,34,0.532,No,12.1,NA
Frog,20220714,2022,2,530,copper,32,14,33,0.502,No,8.41,NA
Frog,20220714,2022,2,596,copper,35,17,38,0.768,No,10.1,NA
Frog,20220714,2022,2,597,copper,28,12,27,0.296,No,10.5,NA
Frog,20220714,2022,2,598,copper,29,13,27,0.372,No,6.46,tiny piece of tail cut
Frog,20220714,2022,2,599,copper,28,11,27,0.227,No,9.51,NA
Frog,20220714,2022,2,600,copper,28,11,19,0.238,No,13.7,tail mostly missing
Frog,20220714,2022,2,606,copper,27,10,17,0.159,No,10.6,much of tail missing
Topaz,20220717,2022,2,576,histology,35,19,45,0.894,No,NA,NA
Topaz,20220717,2022,2,577,histology,39,21,53,1.463,No,NA,NA
Topaz,20220717,2022,2,578,histology,36,20,44,1.265,No,NA,NA
Topaz,20220717,2022,2,579,histology,36,19,47,1.344,No,NA,NA
Topaz,20220717,2022,2,580,histology,37,22,49,1.619,No,NA,NA
Topaz,20220717,2022,2,581,histology,37,21,53,1.791,No,NA,NA
Topaz,20220717,2022,2,582,histology,37,22,53,1.818,No,NA,NA
Topaz,20220717,2022,2,583,histology,39,22,56,1.858,No,NA,NA
Topaz,20220717,2022,2,584,histology,38,21,51,1.625,No,NA,cut tail
Topaz,20220717,2022,2,585,histology,41,20,62,1.623,No,NA,NA
Topaz,20220717,2022,2,586,histology,36,21,50,1.415,No,NA,NA
Topaz,20220717,2022,2,587,histology,36,22,55,1.751,No,NA,NA
Topaz,20220717,2022,2,588,histology,35,21,37,1.299,No,NA,cut tail
Topaz,20220717,2022,2,589,histology,34,20,35,1.094,No,NA,broken tail
Topaz,20220717,2022,2,590,histology,37,19,48,1.349,No,NA,NA
Topaz,20220717,2022,2,531,copper,40,21,53,1.46,No,13.4,NA
Topaz,20220717,2022,2,532,copper,41,18,45,1.523,No,7.65,cut tail
Topaz,20220717,2022,2,533,copper,36,21,50,1.601,No,21.1,NA
Topaz,20220717,2022,2,534,copper,36,20,47,1.303,No,22.6,NA
Topaz,20220717,2022,2,535,copper,35,20,44,1.283,No,20.7,cut tail
Topaz,20220717,2022,2,536,copper,41,18,44,1.531,No,12.1,NA
Topaz,20220717,2022,2,537,copper,35,20,47,1.149,No,21,NA
Topaz,20220717,2022,2,538,copper,37,22,56,1.809,No,13.1,NA
Topaz,20220717,2022,2,539,copper,40,22,51,1.942,No,18.2,NA
Topaz,20220717,2022,2,540,copper,41,17,51,1.4,No,14.8,NA
Topaz,20220717,2022,2,541,copper,40,21,55,1.507,No,11.6,NA
Topaz,20220717,2022,2,542,copper,36,21,45,1.38,No,18,NA
Topaz,20220717,2022,2,543,copper,40,21,58,1.732,No,20.2,NA
Topaz,20220717,2022,2,544,copper,37,20,52,1.544,No,23.7,NA
Topaz,20220717,2022,2,545,copper,37,21,49,1.53,No,15.8,NA
